n_api_calls,suspicious_getCellLocation,perm_android_permission_READ_PHONE_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_bluetooth_adapter_action_STATE_CHANGED,perm_android_permission_GET_TASKS,suspicious_getSubscriberId,intent_android_intent_action_ACTION_POWER_DISCONNECTED,perm_android_permission_CHANGE_NETWORK_STATE,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_android_c2dm_intent_RECEIVE,intent_com_google_firebase_MESSAGING_EVENT,n_providers,perm_android_permission_ACCESS_WIFI_STATE,intent_android_intent_action_USER_PRESENT,intent_android_intent_action_ACTION_POWER_CONNECTED,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_WRITE_SMS,perm_android_permission_RECEIVE_SMS,perm_android_permission_SEND_SMS,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_WRITE_SETTINGS,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_READ_SETTINGS,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,perm_android_permission_READ_SMS,n_services,label
33,1,0,0,0,0,0,1,0,0,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,0,27,0,27,0
36,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,25,0,20,0
27,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,0,0,1,0,0,0,0,0,1,0,0,26,0,18,0
36,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,33,1,21,1
36,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,33,1,21,1
36,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,33,1,21,1
36,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,1,33,1,21,1
36,0,1,1,1,0,0,1,0,0,1,1,1,0,6,1,1,0,1,0,0,0,1,0,0,0,0,18,0,25,0
31,0,0,0,0,0,0,0,0,0,1,1,1,1,5,0,0,0,1,0,0,0,1,0,0,0,0,26,0,16,0
35,0,0,0,0,0,1,1,0,0,1,1,1,1,5,1,0,0,1,0,0,0,1,0,0,0,0,28,0,18,0
34,0,0,0,1,0,0,0,0,0,1,1,1,1,5,1,0,0,1,0,0,0,1,0,0,0,0,27,0,13,0
30,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1,30,0,18,0
30,0,0,0,1,0,1,1,1,0,1,1,1,0,3,1,1,1,1,0,0,0,1,0,0,0,1,33,0,11,1
23,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,1,0,1,0,0,0,1,0,1,0,0,18,0,17,0
27,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,0,0,1,0,0,0,1,0,1,0,0,30,0,13,0
39,1,1,0,1,0,1,1,0,1,0,0,0,0,11,1,0,0,0,0,0,0,1,1,0,0,1,28,0,15,0
25,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,34,0,15,1
32,1,0,0,0,0,0,1,0,0,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,31,0,14,0
32,1,0,0,0,0,0,1,0,0,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,31,0,14,0
32,1,0,0,0,0,0,1,0,0,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,31,0,14,0
32,1,0,0,0,0,0,1,0,0,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,31,0,14,0
34,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,1,30,0,11,1
27,0,0,0,0,0,0,0,0,0,1,1,1,1,8,0,0,0,1,0,0,0,1,0,0,0,0,28,0,14,0
37,1,1,1,1,0,1,1,0,1,0,0,0,0,3,1,1,0,0,0,0,0,0,1,0,0,1,23,0,12,0
25,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,35,0,15,1
36,0,0,0,1,0,1,0,1,0,1,1,1,0,4,1,0,1,0,0,0,0,0,0,1,0,0,18,0,17,0
26,1,1,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,27,0,9,0
37,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16,0,14,0
25,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,24,0,10,0
26,0,0,0,0,0,0,0,0,0,1,1,1,1,5,1,0,0,1,0,0,0,1,0,1,0,0,14,0,17,0
39,0,0,0,0,0,0,0,0,0,1,1,1,0,3,1,0,0,1,0,0,0,0,0,1,0,1,20,0,15,0
41,1,0,0,1,0,0,0,0,0,1,1,1,0,4,1,0,0,1,0,0,0,1,0,1,0,0,32,0,16,0
35,1,1,1,1,0,1,1,0,1,0,0,0,0,3,1,1,0,0,0,0,0,1,1,0,0,1,27,0,11,0
36,1,1,0,1,0,1,0,0,0,1,1,1,0,2,1,1,0,1,0,0,0,1,0,1,0,0,16,0,12,1
45,1,0,0,0,0,0,1,0,0,1,0,1,0,3,1,1,0,1,0,0,0,1,0,1,0,0,14,0,14,1
42,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,31,0,9,1
43,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,13,0,24,1
18,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,25,0,13,0
39,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,26,0,12,0
20,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,19,0,14,1
45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,20,1,13,1
22,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,35,0,12,0
41,1,1,0,1,0,0,1,1,1,0,0,0,0,5,1,1,1,0,0,0,0,0,0,1,0,1,15,0,12,1
15,0,1,0,0,0,0,0,0,0,1,1,1,1,6,1,0,0,1,0,0,0,1,0,0,0,1,32,0,24,0
41,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,45,1,21,1
40,1,1,0,1,0,1,1,1,1,0,0,0,0,5,1,1,1,0,0,0,0,0,0,1,0,1,16,0,12,1
45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,18,0,13,1
24,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,0,0,1,0,0,0,1,0,1,0,0,11,0,13,0
45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,20,1,12,1
23,0,0,0,0,0,0,0,0,0,1,1,1,1,6,1,0,0,1,0,0,0,1,0,1,0,0,21,0,10,0
45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,20,1,12,1
40,0,1,0,1,0,1,0,1,0,1,1,1,1,6,1,0,1,1,0,0,0,0,0,0,0,0,16,0,10,0
31,0,0,0,0,0,0,0,0,0,1,1,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,12,0,18,0
30,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,20,0,8,1
25,0,1,1,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,31,0,14,1
23,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,24,0,8,0
31,1,0,0,1,0,0,0,1,0,1,1,1,1,7,1,0,1,1,0,0,0,1,0,1,0,1,19,0,20,0
37,1,0,0,0,0,0,0,0,0,1,1,1,1,7,0,0,0,1,0,0,0,1,0,1,0,0,21,0,11,0
20,0,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0,1,1,0,0,0,0,0,0,0,0,11,0,19,0
34,0,1,0,0,0,0,0,0,1,1,1,1,1,2,1,0,0,1,0,0,0,1,0,1,0,0,28,0,11,0
34,1,0,0,0,0,0,0,0,0,1,1,1,1,4,0,0,0,1,0,0,0,1,0,0,0,0,10,0,13,0
33,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,33,1,10,1
33,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,33,1,10,1
33,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,33,1,10,1
46,1,0,0,0,0,0,1,0,0,1,0,1,0,2,1,1,0,1,0,0,0,1,0,1,0,0,11,0,14,1
21,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,22,0,11,0
24,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,26,0,7,0
37,0,0,0,1,0,0,0,0,0,1,0,1,1,5,1,0,0,1,0,0,0,1,0,0,0,0,27,0,15,0
33,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,14,0,18,0
47,0,0,0,1,0,0,0,0,0,1,0,1,1,7,1,0,0,1,0,0,0,1,0,1,0,0,20,0,12,0
40,1,1,0,1,0,0,1,1,1,0,0,0,0,5,1,1,1,0,0,0,0,0,0,1,0,1,15,0,12,1
44,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,40,1,20,1
31,1,0,0,1,0,0,0,1,0,1,1,1,1,7,1,0,1,1,0,0,0,1,0,1,0,1,19,0,20,0
23,0,1,0,0,0,0,0,0,0,1,1,1,1,5,0,0,0,1,0,0,0,1,0,0,0,0,34,0,31,0
35,0,0,0,0,0,0,0,0,1,1,1,1,1,4,1,0,0,1,0,0,0,1,1,1,0,1,17,0,11,0
47,1,1,0,1,0,0,1,1,1,1,1,1,1,2,1,0,1,1,0,0,0,1,1,1,0,1,42,0,21,1
26,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,0,0,1,0,0,0,1,0,1,0,0,16,0,13,0
36,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,25,0,10,1
48,1,0,0,0,0,0,1,0,0,1,1,1,1,5,1,0,0,1,0,0,0,1,0,0,0,0,10,0,19,0
36,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,18,0,9,1
29,0,1,0,0,0,0,0,0,0,1,1,1,1,7,0,0,0,1,0,0,0,0,0,0,0,0,19,0,12,0
32,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,33,1,9,1
21,1,0,0,0,0,0,0,0,0,1,1,1,1,5,1,0,0,1,0,0,0,1,0,1,0,0,14,0,18,0
36,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,25,0,22,1
38,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,1,0,0,0,0,0,1,0,0,13,0,10,0
46,1,1,1,1,0,1,1,1,1,0,0,0,0,4,1,1,1,0,0,0,0,0,1,1,0,1,26,0,10,1
40,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,25,1,6,1
46,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,21,0,10,1
37,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,17,0,7,0
23,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,17,0,9,0
25,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,21,0,12,0
40,0,1,0,1,0,1,1,1,1,0,0,0,0,4,1,1,1,0,0,0,0,0,0,1,0,1,29,0,10,1
15,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,34,0,12,0
42,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,20,0,10,1
25,0,1,0,0,0,0,0,0,0,1,1,1,0,4,1,0,0,1,0,0,0,0,0,0,0,0,12,0,10,0
37,1,0,0,0,0,0,0,0,0,1,1,1,1,5,1,0,0,1,0,0,0,1,0,0,0,0,12,0,10,0
43,0,0,0,1,0,1,0,0,0,1,1,1,1,3,1,0,0,1,0,0,0,0,0,1,0,0,39,0,12,0
24,0,0,0,0,0,1,0,0,0,1,1,1,1,4,1,0,0,1,0,1,0,0,0,1,0,0,18,1,10,0
37,1,1,0,0,0,0,0,0,0,1,1,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,15,0,8,0
23,1,1,0,0,0,0,1,0,0,1,1,1,1,3,0,0,0,1,0,0,0,1,0,0,0,0,15,0,14,0
29,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,10,0,14,0
36,1,1,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,45,1,22,1
39,0,1,0,0,0,0,0,0,0,1,1,1,1,4,1,0,0,1,0,0,0,1,0,0,0,0,30,0,19,0
47,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,25,0,11,1
45,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,25,0,9,1
36,0,0,0,1,0,0,0,0,0,1,1,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,10,0,8,0
36,0,1,0,1,0,0,0,0,0,1,0,1,0,5,1,0,0,1,0,0,0,0,0,1,0,0,18,0,13,0
37,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,10,0,15,0
40,0,1,0,0,0,1,0,0,0,1,1,1,1,6,1,1,0,1,0,0,0,1,0,0,0,1,18,0,13,0
31,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,22,0,10,0
40,1,0,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,1,0,0,0,0,0,1,0,0,10,0,9,1
40,1,1,0,1,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,47,1,17,1
32,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,33,1,9,1
32,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,33,1,9,1
32,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,33,1,9,1
48,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,17,0,24,1
25,0,0,0,0,0,0,0,0,0,1,0,1,1,4,1,0,0,1,0,0,0,1,0,1,0,0,12,0,9,0
36,1,0,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,1,0,0,0,0,1,1,0,0,18,0,14,1
35,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,15,0,6,1
23,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,13,0,11,0
20,0,0,0,0,0,0,0,0,0,1,1,1,1,5,0,0,0,1,0,0,0,1,0,0,0,0,26,0,15,0
22,0,0,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,1,0,0,0,0,1,0,0,0,17,0,9,0
50,0,0,0,0,1,0,0,1,0,1,0,1,1,5,1,0,1,1,0,0,0,1,0,1,0,1,19,0,20,0
37,1,1,1,1,1,1,1,1,1,0,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,1,33,0,4,1
22,0,0,0,0,0,0,1,0,0,1,1,1,1,4,1,0,0,1,0,0,0,1,0,0,0,0,16,0,20,0
38,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,14,1,5,0
28,1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1,16,0,4,1
37,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,15,0,10,0
44,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,17,0,9,0
46,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,27,0,8,1
29,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,12,0,9,0
22,1,1,0,1,0,0,1,0,0,1,1,1,0,3,1,0,0,1,0,1,0,0,0,1,0,0,22,1,5,0
31,0,1,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,1,0,0,0,0,0,1,0,1,22,0,13,0
39,1,1,1,1,0,1,1,0,1,1,1,1,1,3,1,0,0,0,1,1,1,0,1,1,0,1,24,1,13,1
32,0,0,1,0,0,1,1,0,0,1,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,21,0,6,0
32,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,0,0,1,0,0,0,1,0,0,0,0,10,0,7,0
17,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,34,0,10,0
17,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,34,0,10,0
31,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,24,0,7,0
46,1,1,0,0,0,0,1,0,0,1,1,1,0,9,1,0,0,1,0,0,0,1,0,1,0,1,17,0,9,0
41,0,0,0,1,0,0,1,1,0,1,1,1,0,5,1,0,1,1,0,0,0,1,0,1,0,0,17,0,18,0
20,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,20,0,5,0
25,0,0,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,1,0,0,0,1,0,1,0,0,15,0,13,0
27,0,0,1,1,0,0,0,1,0,0,0,1,1,8,0,0,1,1,0,0,0,1,0,1,0,0,18,0,25,0
21,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,11,0,8,0
23,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,0,0,1,0,0,0,1,0,1,0,0,17,0,18,0
44,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,10,0,25,1
24,0,1,0,1,0,1,1,0,0,1,1,1,1,7,1,1,0,1,0,0,0,1,0,0,0,1,20,0,21,0
19,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,13,0,12,0
17,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,34,0,10,0
25,0,1,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,0,0,0,1,0,0,1,0,0,21,0,12,0
31,1,0,0,0,0,0,1,0,1,1,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,1,18,0,6,0
32,1,0,0,0,0,0,1,0,0,1,0,1,1,4,0,0,0,1,0,0,0,1,0,1,0,0,31,0,15,0
16,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,36,0,11,0
24,0,1,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,12,0,5,0
16,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,36,0,11,0
20,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,28,0,17,0
26,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,19,0,9,0
23,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,0,12,0,8,0
22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,1,18,0,12,0
17,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,36,0,11,0
23,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,1,0,0,0,0,1,1,0,1,21,0,3,0
32,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0,1,38,1,12,1
45,1,1,0,1,1,0,1,0,0,0,0,0,0,3,1,1,0,1,0,0,0,1,0,0,0,0,14,0,17,1
17,0,0,0,1,1,0,1,0,0,1,1,1,0,6,1,1,0,1,0,0,0,1,0,0,0,0,10,0,12,0
34,1,1,0,0,0,0,1,0,0,1,1,1,1,4,1,0,0,1,0,0,0,0,0,0,0,0,12,0,18,0
39,1,1,0,0,0,1,1,0,1,1,1,1,1,3,1,0,0,1,0,1,0,1,0,1,0,1,22,0,9,1
34,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,13,0,6,1
40,1,0,0,0,0,0,0,0,0,1,0,1,0,3,1,0,0,1,0,0,0,1,0,0,0,1,14,0,5,0
13,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,18,0,11,0
42,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,12,0
44,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,8,0,12,0
42,1,1,0,1,0,1,0,1,1,1,1,1,1,7,1,1,1,1,0,0,0,1,0,1,0,1,27,0,35,0
24,0,1,0,0,0,1,0,0,0,1,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,1,15,0,19,1
23,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,1,0,0,0,1,1,1,0,0,15,0,5,0
30,0,0,0,0,0,0,0,0,0,1,1,1,1,4,1,0,0,1,0,0,0,1,0,0,0,0,28,0,6,0
45,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,30,0,8,1
42,0,1,0,0,0,0,0,0,0,1,1,1,1,4,0,0,0,1,0,1,0,0,0,1,0,0,30,0,15,0
47,0,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,1,28,0,4,1
20,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,10,0,12,0
33,0,1,0,1,0,0,0,0,0,1,1,1,1,3,0,0,0,1,0,0,0,1,0,0,0,0,9,0,14,0
32,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,9,0,11,0
18,0,0,0,0,0,0,0,0,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,20,0,9,0
28,0,1,0,0,0,0,0,0,0,1,1,1,1,5,1,0,0,1,0,0,0,0,0,0,0,0,28,0,13,0
28,0,1,0,0,0,0,0,0,0,1,1,1,1,5,1,0,0,1,0,0,0,0,0,0,0,0,28,0,13,0
49,1,0,0,1,0,1,1,0,0,1,0,1,0,2,1,1,0,1,0,0,0,1,0,1,0,0,10,0,14,1
49,1,0,0,1,0,1,1,0,0,1,0,1,0,2,1,1,0,1,0,0,0,1,0,1,0,0,10,0,14,1
