intent_android_intent_action_PACKAGE_REMOVED,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_CHANGED,intent_android_intent_action_PACKAGE_RESTARTED,intent_android_intent_action_PACKAGE_ADDED,perm_android_permission_ACCESS_COARSE_LOCATION,intent_android_intent_action_ACTION_POWER_CONNECTED,n_api_calls,intent_android_intent_action_QUICKBOOT_POWERON,n_providers,n_used_permissions,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_com_google_android_c2dm_intent_RECEIVE,perm_android_permission_SEND_SMS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_UNINSTALL_SHORTCUT,perm_android_permission_RECEIVE_BOOT_COMPLETED,perm_com_google_android_c2dm_permission_RECEIVE,intent_com_android_vending_INSTALL_REFERRER,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_com_google_firebase_MESSAGING_EVENT,n_urls,n_permissions,n_services,intent_android_intent_action_BOOT_COMPLETED,perm_android_permission_NFC,perm_android_webkit_permission_PLUGIN,intent_android_intent_action_DOWNLOAD_COMPLETE,label
0,0,0,0,0,0,0,16,0,1,7,0,1,0,0,0,0,0,0,1,0,0,0,53,7,3,0,0,0,0,0
0,0,0,0,0,0,0,17,0,1,7,0,1,0,0,1,0,0,0,1,1,1,0,53,6,2,0,0,0,0,0
0,0,0,0,0,0,0,15,0,0,7,0,0,0,0,1,0,0,0,1,1,0,0,51,5,4,0,0,0,0,0
0,0,0,0,0,0,0,18,0,1,7,0,1,0,0,1,0,0,0,1,1,1,0,49,7,2,0,0,0,0,0
0,0,0,0,1,0,0,18,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,52,5,0,0,0,0,0,0
0,0,0,0,0,0,0,17,0,1,6,0,0,0,0,0,0,0,0,1,1,0,0,50,9,0,1,0,0,0,0
0,0,0,0,0,0,0,17,0,0,9,0,0,0,0,1,1,0,1,1,1,0,0,50,9,1,1,0,0,0,0
0,0,0,0,0,0,0,19,0,1,7,0,1,0,0,1,0,0,0,1,1,1,0,53,9,3,0,0,0,0,0
0,0,0,0,0,0,0,17,0,0,7,0,1,0,0,0,0,0,1,1,0,0,0,54,11,1,1,0,0,0,0
0,0,0,0,0,0,0,13,0,1,5,0,1,0,0,0,0,0,1,1,1,0,0,52,12,4,0,0,0,0,0
0,0,0,0,0,0,0,19,1,1,10,0,0,0,1,1,0,0,1,0,0,0,0,51,6,5,1,0,0,0,1
0,1,0,0,0,0,1,21,0,0,8,1,1,0,0,1,1,0,1,1,1,0,0,51,9,3,1,0,0,0,1
0,0,0,0,0,0,0,15,0,1,8,0,1,0,0,1,0,0,0,1,1,1,1,57,11,5,0,0,0,0,0
0,0,0,0,0,0,0,19,0,1,9,0,1,0,0,1,0,0,1,1,0,1,1,55,8,6,1,0,0,0,0
0,0,0,0,1,0,0,17,0,1,7,0,1,0,0,1,0,0,0,1,1,1,1,54,8,9,0,0,0,0,0
0,0,0,0,0,0,0,15,0,5,10,0,0,0,0,1,0,0,0,0,0,0,0,55,7,6,0,0,0,0,0
0,0,0,0,0,0,0,19,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,58,5,1,0,0,0,0,0
0,0,0,0,1,1,0,17,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,52,7,1,0,1,0,0,1
0,0,0,0,1,0,0,20,0,5,10,0,1,0,0,1,0,0,0,1,0,0,0,51,8,2,0,0,0,0,0
0,0,0,0,1,1,0,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,53,7,1,0,1,0,0,1
0,0,0,0,0,0,0,18,0,1,8,0,1,0,0,0,0,0,0,0,1,0,0,48,6,3,1,0,0,0,0
0,0,0,0,0,0,0,17,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,50,8,2,1,0,0,0,0
0,0,0,0,0,1,0,22,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,51,8,1,1,0,0,0,0
0,0,0,0,0,0,0,12,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,50,3,1,0,0,0,0,0
0,0,0,0,0,1,0,18,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,57,9,0,0,0,0,0,0
0,0,0,0,1,0,0,11,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,55,4,0,0,0,0,0,1
0,0,0,0,0,0,0,21,0,2,10,0,1,0,0,1,0,0,0,1,1,1,1,51,7,7,0,0,0,0,0
0,0,0,0,0,1,0,17,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,59,8,2,1,0,0,0,0
0,0,0,0,0,0,0,22,0,2,9,0,1,0,0,1,0,0,0,1,1,1,0,57,7,2,0,0,0,0,0
0,0,0,0,1,1,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,50,7,0,0,0,0,0,1
0,0,0,0,0,0,0,16,0,0,7,0,1,0,0,0,0,0,0,1,0,0,0,58,12,2,0,0,0,0,0
0,0,0,0,0,0,0,17,0,0,8,0,0,0,0,1,0,0,0,1,1,0,0,47,7,0,0,0,0,0,0
0,0,0,0,0,0,0,12,0,1,5,0,1,0,0,0,0,0,0,1,0,1,1,51,5,9,0,0,0,0,0
0,0,0,0,0,0,0,16,0,0,7,0,0,0,0,1,0,0,0,1,0,0,0,58,4,1,0,0,0,0,0
