perm_android_permission_GET_TASKS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_READ_PHONE_STATE,perm_com_android_browser_permission_WRITE_HISTORY_BOOKMARKS,suspicious_getSubscriberId,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_SYSTEM_ALERT_WINDOW,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_WIFI_STATE,suspicious_getCellLocation,intent_android_intent_action_PACKAGE_ADDED,suspicious_sendTextMessage,intent_com_google_firebase_INSTANCE_ID_EVENT,n_api_calls,n_permissions,perm_android_permission_READ_LOGS,perm_android_permission_CHANGE_NETWORK_STATE,perm_android_permission_WRITE_SMS,perm_com_google_android_c2dm_permission_RECEIVE,perm_android_permission_SEND_SMS,perm_android_permission_CHANGE_WIFI_STATE,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_PHONE_STATE,intent_android_intent_action_PACKAGE_INSTALL,n_providers,n_services,n_activities,label
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,29,8,0,0,0,0,0,0,0,0,0,0,1,21,0
0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,28,11,0,0,0,0,0,0,0,0,0,1,2,20,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,27,8,0,0,0,0,0,0,0,0,0,0,1,16,0
0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,0,3,1,19,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,7,0,0,0,1,0,0,1,0,0,0,1,22,0
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,24,8,0,0,0,0,0,0,0,0,0,0,1,18,0
0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,28,6,0,0,0,0,0,0,0,0,0,1,0,25,0
0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,24,5,0,0,0,0,0,0,0,0,0,0,1,23,0
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,29,6,0,0,0,0,0,0,0,0,0,0,2,18,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,3,17,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,23,4,0,0,0,0,0,0,0,0,0,0,0,21,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,23,5,0,0,0,0,0,0,0,0,0,0,2,23,0
0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,23,9,0,0,0,0,0,0,0,0,0,1,0,24,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,24,5,0,0,0,0,0,0,0,0,0,0,0,19,0
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,28,5,0,0,0,0,0,1,0,0,0,0,0,18,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,0,20,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,28,10,0,0,0,0,0,0,0,0,0,1,4,17,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,20,0
0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,5,0,0,0,0,0,0,0,0,0,2,2,19,1
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,29,6,0,0,0,0,0,0,0,0,0,0,2,13,0
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,4,23,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,33,13,0,0,0,0,0,0,0,0,0,1,2,16,0
1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,28,12,0,0,0,1,0,0,1,0,0,4,5,18,0
0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,22,5,0,0,0,0,0,0,0,0,0,0,0,18,0
1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,24,7,0,0,0,0,0,0,0,0,0,1,2,18,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,34,7,0,0,0,0,0,0,0,0,0,0,4,17,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,6,0,0,0,0,0,0,0,0,0,0,1,15,0
0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,31,7,0,0,0,1,0,0,1,0,0,1,5,14,0
0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,24,10,0,0,0,1,0,0,1,0,0,1,4,24,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,34,7,0,0,0,0,0,0,0,0,0,0,5,17,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,20,0
1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,4,20,0
0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,30,10,0,0,0,0,0,1,0,0,0,0,1,13,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,27,8,0,0,0,1,0,0,1,0,0,5,5,21,0
0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,0,3,13,1
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,29,8,0,0,0,1,0,0,1,0,0,3,6,21,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,23,7,0,0,0,0,0,0,0,0,0,1,3,18,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,3,0,0,0,0,0,0,0,0,0,1,1,15,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,34,7,0,0,0,0,0,0,0,0,0,0,5,17,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,27,11,0,0,0,0,0,0,0,0,0,2,0,22,0
0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,25,10,0,0,0,0,0,0,0,0,0,0,4,13,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,36,10,0,0,0,1,0,0,1,0,0,0,2,22,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,36,10,0,0,0,1,0,0,1,0,0,0,2,22,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,36,10,0,0,0,1,0,0,1,0,0,0,2,22,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,20,7,0,0,0,0,0,0,0,0,0,1,1,22,0
0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,26,7,0,0,0,0,0,0,0,0,0,2,5,18,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,22,9,0,0,0,1,0,0,1,0,0,1,6,19,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,22,9,0,0,0,1,0,0,1,0,0,1,6,19,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,22,9,0,0,0,1,0,0,1,0,0,1,6,19,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,22,9,0,0,0,1,0,0,1,0,0,1,6,19,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,22,9,0,0,0,1,0,0,1,0,0,1,6,19,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,25,8,0,0,0,1,0,0,1,0,0,3,7,16,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,4,18,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,27,7,0,0,0,0,0,0,0,0,0,0,1,16,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27,4,0,0,0,0,0,0,0,0,0,2,1,15,0
0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,25,4,0,0,0,0,0,0,0,0,0,0,4,18,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,1,11,0
0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,26,9,0,0,0,0,0,0,0,0,0,0,1,11,0
0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,24,14,0,0,0,1,0,0,1,0,0,2,4,19,0
0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,18,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,31,6,0,0,0,1,0,0,1,0,0,2,2,19,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,2,12,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,22,9,0,0,0,0,0,0,0,0,0,1,0,14,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,2,12,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,2,12,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,2,12,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,2,12,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,2,12,0
0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,28,6,0,0,0,0,0,0,0,0,0,1,5,12,0
0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,25,8,0,0,0,0,0,0,0,0,0,1,0,13,0
0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,17,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,2,12,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,2,12,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,0,2,12,0
0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,32,9,0,0,0,0,0,0,0,0,0,2,2,23,0
0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,28,8,0,0,0,1,0,0,1,0,0,0,2,14,1
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,35,7,0,0,0,0,0,0,0,0,0,0,5,17,0
0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,16,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,1,0,16,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,35,7,0,0,0,0,0,0,0,0,0,0,5,17,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,20,6,0,0,0,1,0,0,1,0,0,1,2,18,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,21,9,0,0,0,0,0,0,0,0,0,0,2,15,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,21,12,0,0,0,1,0,0,1,0,0,0,5,22,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,29,5,0,0,0,0,0,0,0,0,0,0,3,11,0
0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,20,6,0,0,0,0,0,0,0,0,0,0,0,17,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,34,8,0,0,0,0,0,0,0,0,0,0,2,12,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,35,16,0,0,0,1,0,0,0,0,0,0,2,20,0
0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,30,7,0,0,0,0,0,0,0,0,0,0,3,12,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,35,16,0,0,0,1,0,0,0,0,0,0,2,20,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,26,8,0,0,0,0,0,0,0,0,0,0,0,16,0
0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,34,11,0,0,0,1,0,0,1,0,0,1,4,20,0
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,30,9,0,0,0,0,0,0,0,0,0,0,2,13,0
1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,24,14,0,1,0,0,0,1,0,0,0,0,1,28,1
