feature,method_count,aggregated_score,score_std,rank_mean,rank_std,top_methods,entropy_reduction_ratio,mutual_information,chi2_stat,f_stat,pearson_r
perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.9848321558132133,0.019911727132623794,1.4,0.4898979485566356,"chi2_stat, f_stat, pearson_r",0.9507466311656484,0.9734141479004178,1.0,1.0,1.0
perm_com.android.launcher.permission.INSTALL_SHORTCUT,5,0.7341181151899296,0.1349494661138377,3.4,0.8,"pearson_r, mutual_information, chi2_stat",0.6646591097753628,0.8462275725016916,0.7003447323700566,0.5393067023238516,0.9200524589786857
suspicious_getSubscriberId,5,0.6643436471729673,0.13929521963193978,4.8,2.1354156504062622,"pearson_r, chi2_stat, entropy_reduction_ratio",0.623961304195995,0.5859042427426143,0.704369800239568,0.4981619566788396,0.9093209320078197
perm_android.permission.GET_TASKS,5,0.6271388354645229,0.1465809859198921,5.8,1.7204650534085255,"pearson_r, entropy_reduction_ratio, chi2_stat",0.6257582915342703,0.5767844036335079,0.5863834566901275,0.45094950695642994,0.895818518508279
perm_android.permission.SYSTEM_ALERT_WINDOW,5,0.6196155326647156,0.1549660294566326,6.2,0.9797958971132712,"pearson_r, mutual_information, entropy_reduction_ratio",0.6080192822836419,0.6530794865858497,0.5377829043864102,0.4147325366938914,0.8844634533737844
perm_com.android.launcher.permission.READ_SETTINGS,5,0.5799044177916385,0.16699100509715833,8.0,1.7888543819998317,"pearson_r, mutual_information, chi2_stat",0.5044399865643624,0.6163529418448828,0.5675865519037308,0.34970288532344795,0.8614397233217687
perm_com.android.launcher.permission.UNINSTALL_SHORTCUT,5,0.5770373424062608,0.16365844655896117,8.2,3.1240998703626617,"pearson_r, chi2_stat, entropy_reduction_ratio",0.5202184717152651,0.499313966940322,0.5977147735818304,0.3913373383309578,0.876602161462929
perm_android.permission.READ_PHONE_STATE,5,0.5220941099530678,0.20437760920450582,12.2,6.209669878504009,"pearson_r, mutual_information, entropy_reduction_ratio",0.5454787575156487,0.6351730738594815,0.3207964018540072,0.2780198884492136,0.831002428086988
intent_android.intent.action.PACKAGE_REMOVED,5,0.5110115451226283,0.1790608447980711,11.8,2.7129319932501073,"pearson_r, chi2_stat, mutual_information",0.435756599247016,0.4642451946363277,0.5021098155702471,0.30831837125131,0.8446277449082404
perm_com.android.launcher.permission.WRITE_SETTINGS,5,0.4809430083633458,0.1864084379109615,14.0,3.03315017762062,"pearson_r, mutual_information, chi2_stat",0.3960541124963594,0.4791629990768173,0.4540692415229846,0.25543516781558795,0.8199935209049798
intent_android.intent.action.USER_PRESENT,5,0.4717671139574152,0.18786181445422545,15.2,4.1182520563948,"pearson_r, chi2_stat, mutual_information",0.3881723723780133,0.43149960694324724,0.44895941638091735,0.2653034754610122,0.8249006986238863
intent_android.net.conn.CONNECTIVITY_CHANGE,5,0.43999901071334957,0.19398284755461676,19.0,4.242640687119285,"pearson_r, chi2_stat, mutual_information",0.37364291096184066,0.38391453930106145,0.39299000217183655,0.23833970629403645,0.8111078948379731
perm_com.htc.launcher.permission.WRITE_SETTINGS,5,0.43821421531167026,0.19494905365826737,18.6,3.6110940170535573,"pearson_r, mutual_information, chi2_stat",0.34342258195596115,0.4385123603453402,0.39731058633261146,0.2141930211032589,0.7976325268211794
intent_android.intent.action.PACKAGE_ADDED,4,0.5047523983286281,0.18712782972265274,14.0,8.294576541331088,"pearson_r, chi2_stat, entropy_reduction_ratio",0.459884390581364,0.36178370948856187,0.5204769927762227,0.3285372267551477,0.8530796720418444
intent_android.intent.action.SCREEN_OFF,4,0.4571377042136512,0.1961972462656706,17.2,4.955804677345547,"pearson_r, mutual_information, chi2_stat",0.34173411506757717,0.5085015958451166,0.408773592950973,0.2236378964156154,0.8030413207889738
intent_android.intent.action.DOWNLOAD_NOTIFICATION_CLICKED,4,0.4501399267177969,0.19230580948387185,17.8,5.3814496188294845,"pearson_r, chi2_stat, mutual_information",0.37839908165433717,0.3831753026240535,0.43514968979286023,0.24129500785284624,0.8126805516648873
intent_com.example.servicejar.action.START_SPIRIT,4,0.42135530140164734,0.19763559483364906,23.4,3.3823069050575523,"pearson_r, mutual_information, chi2_stat",0.3260975538339013,0.41121304354048327,0.3783910346024872,0.20119891557064654,0.7898759594607184
perm_com.google.android.c2dm.permission.RECEIVE,3,0.6194000729499523,0.4117668697914901,206.2,397.024633996431,"entropy_reduction_ratio, mutual_information, f_stat",1.0,1.0,0.26184958756398036,0.8351507771857813,0.0
intent_com.google.android.c2dm.intent.RECEIVE,3,0.5377137801231431,0.34228976416638013,207.2,396.01838341167945,"mutual_information, entropy_reduction_ratio, f_stat",0.877198006928082,0.9089643237199471,0.2525078734148447,0.608546854220753,0.04135184233208832
intent_com.example.servicejar.action.START_ASSIST,3,0.41866491397026556,0.19784679499432145,23.6,3.3226495451672293,"pearson_r, mutual_information, chi2_stat",0.3260975538339013,0.3977611063835744,0.3783910346024872,0.20119891557064654,0.7898759594607184
perm_com.android.agedlauncher.permission.READ_SETTINGS,3,0.41562488887242877,0.19826098330058478,24.4,3.555277766926235,"pearson_r, mutual_information, chi2_stat",0.3260975538339013,0.38256098089439006,0.3783910346024872,0.20119891557064654,0.7898759594607184
perm_com.android.agedlauncher.permission.WRITE_SETTINGS,3,0.4134057698084382,0.19868029835402304,24.6,3.7202150475476548,"pearson_r, chi2_stat, mutual_information",0.3260975538339013,0.37146538557443737,0.3783910346024872,0.20119891557064654,0.7898759594607184
intent_com.baoruan.launcher3.ACTION_THEME,3,0.4118181868894458,0.1990404740433314,24.8,3.9191835884530852,"pearson_r, chi2_stat, mutual_information",0.3260975538339013,0.36352747097947546,0.3783910346024872,0.20119891557064654,0.7898759594607184
intent_android.intent.action.DOWNLOAD_COMPLETE,3,0.4059318411706914,0.2018661498279741,24.6,7.812809993849844,"pearson_r, chi2_stat, mutual_information",0.3140031764240812,0.3351563034771182,0.38088963356876787,0.20651492814264122,0.7930951642408482
perm_android.permission.ACCESS_WIFI_STATE,3,0.37463838336869415,0.22583209092843504,26.0,6.54217089351845,"pearson_r, entropy_reduction_ratio, mutual_information",0.4311613739500178,0.38457982349182934,0.13895334673538337,0.15771780686863016,0.7607795657976101
suspicious_Ldalvik/system/PathClassLoader;,3,0.32303095584821734,0.15973062303022667,213.6,391.7686051740236,"mutual_information, entropy_reduction_ratio, f_stat",0.48954358021855987,0.5428139242015501,0.18249350004504217,0.22833916288839512,0.17196461188753956
suspicious_Base64,3,0.2791352969050203,0.1820258064926593,233.0,384.91505556421146,"mutual_information, entropy_reduction_ratio, f_stat",0.413822790902763,0.5365159272409501,0.024894147013321523,0.26999120609572236,0.1504524132723446
intent_com.example.servicejar.action.SHORTCUT_CLICKED,2,0.40710160986083865,0.20040366380276864,25.6,4.963869458396343,"pearson_r, chi2_stat, mutual_information",0.3260975538339013,0.33994458583643977,0.3783910346024872,0.20119891557064654,0.7898759594607184
n_services,2,0.3053404013455735,0.12415069391966048,218.4,386.89771258047006,"mutual_information, chi2_stat, entropy_reduction_ratio",0.31661278405551146,0.4319011117897353,0.41105384168572934,0.08334362062470331,0.2837906485721879
n_urls,2,0.29673399891533314,0.20346851424397927,223.2,376.5800844441989,"entropy_reduction_ratio, mutual_information, pearson_r",0.5471346096920097,0.4459531704726173,0.09193434478711104,0.0245240279223321,0.3741238417025959
n_receivers,2,0.2768624883614964,0.10609975323465247,221.2,385.96393613911647,"entropy_reduction_ratio, chi2_stat, mutual_information",0.4175727208117126,0.2873013083675759,0.31293024764352684,0.08957511168084563,0.276933053303821
perm_android.permission.WRITE_SETTINGS,1,0.3541064859313596,0.21133018389550087,30.8,6.144916598294887,"pearson_r, chi2_stat, entropy_reduction_ratio",0.2771807572702438,0.26177311616638826,0.29819175478832116,0.16637596007675357,0.7670108413550913
n_permissions,1,0.309293801843217,0.21147481103685686,51.0,30.938648968563577,"pearson_r, entropy_reduction_ratio, mutual_information",0.4855778478692373,0.3272137607534227,0.13282744270581542,0.01677633999213322,0.5840736178954763
n_providers,1,0.25852900976038545,0.11229364547302882,223.0,384.05468360638434,"mutual_information, pearson_r, entropy_reduction_ratio",0.27348292364808174,0.42606830719177896,0.2251358609608826,0.07785225793661775,0.29010569906456635
intent_com.google.firebase.INSTANCE_ID_EVENT,1,0.25838301899205574,0.0998299501436765,222.2,386.9286239088548,"entropy_reduction_ratio, mutual_information, pearson_r",0.39083139110184706,0.35991685774704507,0.17006756287782285,0.14330404105800373,0.22779524217556013
n_api_calls,1,0.24033477177425988,0.2043003880652253,127.8,81.14530177403988,"pearson_r, entropy_reduction_ratio, mutual_information",0.35029047173167244,0.28810309317836535,0.018699796323613405,0.004748843644019564,0.5398316539936285
intent_android.intent.action.QUICKBOOT_POWERON,1,0.20374527036166284,0.14920378734529433,232.2,375.597337583748,"mutual_information, pearson_r, entropy_reduction_ratio",0.1386125823600043,0.4223375262212676,0.07699453530468306,0.04399826584534121,0.33678344207701827
perm_android.permission.RECEIVE_USER_PRESENT,0,0.26978137182358725,0.21918596716430716,37.0,7.720103626247513,"pearson_r, mutual_information, chi2_stat",0.14187998422486106,0.2471919916608978,0.18006114728997874,0.08456489294890383,0.6952088429932949
perm_android.permission.CHANGE_WIFI_STATE,0,0.2553971548071941,0.23350824845556,69.0,73.66410251947688,"pearson_r, chi2_stat, entropy_reduction_ratio",0.18621827558441623,0.080660632722213,0.19408789259078751,0.10225462744369997,0.7137643456948538
perm_android.permission.CHANGE_NETWORK_STATE,0,0.23962499825157338,0.22540650899539913,52.0,28.340783334269364,"pearson_r, chi2_stat, entropy_reduction_ratio",0.14143623044625475,0.1350289018482616,0.15682450268741757,0.07760324847822966,0.6872321077977034
perm_android.permission.RECORD_VIDEO,0,0.2225689086228993,0.23784612932169716,106.0,139.15602753743727,"pearson_r, chi2_stat, entropy_reduction_ratio",0.14220909244083443,0.03317846222540646,0.17027596557111924,0.0786831485531831,0.6884978743239533
perm_android.permission.RECEIVE_SMS,0,0.22061624696800344,0.2235582831092237,54.2,21.292252111977255,"pearson_r, mutual_information, chi2_stat",0.10521385837948442,0.14729497099693412,0.12741229764269157,0.05928115958026752,0.6638789482406394
perm_android.permission.SEND_SMS,0,0.2165650156637263,0.2253969558232876,60.8,36.73363581242673,"pearson_r, chi2_stat, mutual_information",0.10818647832230331,0.12238925353266013,0.12745143252313648,0.05996908958888544,0.6648288243516463
intent_com.tencent.smtt.tbs.video.PLAY,0,0.21278733514259426,0.22711354703726494,68.2,52.05919707410018,"pearson_r, chi2_stat, entropy_reduction_ratio",0.11000423304346288,0.09715957101265639,0.1324368621108705,0.05977479809536243,0.6645612114506191
perm_android.permission.READ_SMS,0,0.2117052456668756,0.22015262700175822,51.0,11.009087155618309,"pearson_r, mutual_information, chi2_stat",0.07481440837770865,0.21904089431802903,0.08907772930723232,0.0405530812595215,0.6350401150718864
perm_android.permission.REQUEST_INSTALL_PACKAGES,0,0.208425664435501,0.22979187516995556,78.6,72.41160128045782,"pearson_r, chi2_stat, entropy_reduction_ratio",0.10512273268324154,0.07978644843034419,0.13119615448492933,0.06048543515943006,0.6655375514195598
perm_android.hardware.camera.autofocus,0,0.20162436058411326,0.2190844860287995,57.4,12.167168939404105,"pearson_r, mutual_information, chi2_stat",0.062354321307259576,0.21581925440504163,0.07567820692049743,0.033005666730767186,0.6212643535570005
