suspicious_getSubscriberId,suspicious_sendTextMessage,suspicious_Landroid_telephony_SmsMessage___getMessageBody,n_permissions,perm_android_permission_READ_PHONE_STATE,n_api_calls,suspicious_Ljava_lang_Runtime___exec,perm_android_permission_ACCESS_WIFI_STATE,perm_android_permission_VIBRATE,perm_android_permission_GET_TASKS,suspicious_Base64,perm_android_permission_SYSTEM_ALERT_WINDOW,n_services,perm_com_android_launcher_permission_INSTALL_SHORTCUT,n_urls,suspicious_getCellLocation,perm_,n_providers,perm_android_permission_SEND_SMS,intent_android_intent_action_USER_PRESENT,n_receivers,suspicious_Cipher,perm_android_permission_ACCESS_NETWORK_STATE,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_PACKAGE_ADDED,intent_android_intent_action_CREATE_SHORTCUT,perm_android_permission_WRITE_EXTERNAL_STORAGE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,perm_android_permission_CAMERA,n_used_permissions,label
0,0,0,4,0,18,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0
0,0,0,2,0,17,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0
0,0,0,5,0,20,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,7,0
0,0,0,3,0,15,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,1
0,0,0,5,1,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7,0
0,0,0,3,0,17,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,0
0,0,0,2,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
0,0,0,5,0,17,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,7,0
0,0,0,1,0,18,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,7,0
0,0,0,2,0,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0
0,0,0,3,0,17,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,6,0
0,0,0,3,0,20,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,1,1,0,0,0,1,0,0,7,0
0,0,0,1,0,18,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0
0,0,0,4,0,20,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,7,0
0,0,0,3,0,17,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,6,0
1,1,0,3,1,15,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,1
0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0
0,0,0,2,0,17,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0
0,0,0,5,0,19,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,7,0
0,0,0,2,0,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7,0
0,0,0,4,0,18,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0
0,0,0,4,1,17,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,1,0,0,8,0
0,0,0,4,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,5,0
