intent_android_intent_action_PACKAGE_CHANGED,intent_android_intent_action_PACKAGE_ADDED,intent_android_net_conn_CONNECTIVITY_CHANGE,intent_android_intent_action_PACKAGE_RESTARTED,intent_android_intent_action_PACKAGE_REMOVED,n_api_calls,n_providers,perm_android_permission_GET_TASKS,intent_com_google_android_c2dm_intent_RECEIVE,intent_android_intent_action_QUICKBOOT_POWERON,intent_android_intent_action_BOOT_COMPLETED,intent_android_app_action_DEVICE_ADMIN_ENABLED,suspicious_Ldalvik_system_PathClassLoader_,perm_android_permission_ACCESS_COARSE_LOCATION,intent_cryopiggy_start,intent_android_intent_action_ACTION_POWER_DISCONNECTED,intent_android_intent_action_ACTION_POWER_CONNECTED,perm_com_google_android_c2dm_permission_RECEIVE,intent_android_intent_action_EXTERNAL_APPLICATIONS_AVAILABLE,intent_com_google_firebase_INSTANCE_ID_EVENT,intent_android_intent_action_PACKAGE_REPLACED,perm_android_permission_CHANGE_NETWORK_STATE,intent_com_google_firebase_MESSAGING_EVENT,n_urls,n_activities,n_used_permissions,n_services,perm_com_android_launcher_permission_INSTALL_SHORTCUT,intent_com_android_vending_INSTALL_REFERRER,intent_com_evernote_android_job_ADD_JOB_CREATOR,label
0,1,0,0,0,20,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,56,10,7,11,0,1,0,0
0,1,0,0,0,20,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,56,10,7,11,0,1,0,0
0,1,0,0,0,23,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,59,12,9,11,0,1,0,0
0,0,0,0,0,20,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,53,12,8,13,0,1,0,0
0,1,0,0,0,16,4,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,55,10,9,8,0,1,0,0
0,1,0,0,0,17,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,54,12,7,9,0,1,0,0
0,0,0,0,0,18,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,59,10,7,8,0,1,0,0
0,0,0,0,0,19,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,55,7,9,6,0,0,0,0
0,0,0,0,0,19,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,61,7,9,10,0,1,0,0
0,0,0,0,0,19,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,60,11,8,7,0,1,0,0
0,0,0,0,0,21,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,61,10,8,7,0,1,0,0
0,0,0,0,0,16,3,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,54,9,9,9,0,1,0,0
0,0,0,0,0,22,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,61,10,9,7,0,1,0,0
0,0,1,0,0,25,2,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,57,13,8,13,0,1,0,0
0,0,0,0,0,21,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,59,13,8,7,0,1,0,0
0,0,1,0,0,25,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,59,13,10,8,0,1,0,1
0,0,1,0,0,25,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,0,59,13,10,8,0,1,0,1
0,1,0,0,0,15,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,49,8,6,9,0,1,0,0
0,0,0,0,0,20,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,55,16,8,7,0,1,0,0
0,0,0,0,0,20,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,54,13,7,7,0,1,0,0
0,0,0,0,0,23,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,62,8,10,8,0,1,0,0
0,0,1,0,0,26,4,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,57,8,12,14,0,1,0,0
0,0,0,0,0,22,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,60,12,9,9,1,0,0,0
0,0,0,0,0,24,2,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,52,12,9,4,0,1,0,0
0,0,0,0,0,21,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,51,8,10,7,0,1,0,0
0,0,0,0,0,18,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,63,13,7,8,0,1,0,0
0,0,0,0,0,19,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,63,7,9,8,0,1,0,0
0,0,0,0,0,15,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,59,13,7,7,0,1,0,0
0,1,1,0,1,19,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,59,11,9,7,0,1,0,0
0,0,0,0,0,21,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,62,14,9,9,0,1,0,0
0,1,0,0,0,24,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,50,11,12,7,0,1,0,0
0,1,0,0,0,15,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,47,8,6,10,0,1,0,0
0,0,0,0,0,19,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,50,11,10,6,0,1,0,0
0,0,0,0,0,19,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,64,8,9,8,0,1,0,0
0,1,1,0,1,25,2,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,57,9,12,6,0,1,0,0
0,0,0,0,0,20,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,52,16,11,8,0,1,0,0
0,0,0,0,0,25,3,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,51,16,9,12,0,1,0,0
0,0,0,0,0,18,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,61,14,8,5,0,1,0,0
0,0,0,0,0,19,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,51,7,10,5,1,0,0,1
0,0,0,0,0,22,1,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,62,5,9,9,0,1,0,0
0,0,1,0,0,23,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,59,12,9,3,0,1,0,1
0,0,1,0,0,23,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,59,12,9,3,0,1,0,1
0,0,1,0,0,21,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,51,10,8,3,0,1,0,1
0,0,0,0,0,19,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,47,9,7,12,0,1,0,0
0,0,0,0,0,25,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,58,12,8,6,0,0,0,0
0,0,0,0,0,19,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,53,14,7,3,0,1,0,0
