n_api_calls,suspicious_getCellLocation,perm_android_permission_GET_TASKS,suspicious_getSubscriberId,perm_android_permission_READ_PHONE_STATE,perm_android_permission_MOUNT_UNMOUNT_FILESYSTEMS,intent_android_intent_action_USER_PRESENT,perm_android_permission_SEND_SMS,intent_com_google_android_c2dm_intent_RECEIVE,perm_com_google_android_c2dm_permission_RECEIVE,suspicious_Ldalvik_system_PathClassLoader_,intent_com_google_firebase_INSTANCE_ID_EVENT,n_providers,perm_android_permission_ACCESS_WIFI_STATE,intent_com_google_firebase_MESSAGING_EVENT,perm_android_permission_ACCESS_FINE_LOCATION,perm_android_permission_WRITE_SETTINGS,perm_android_permission_RECEIVE_SMS,perm_com_android_launcher_permission_INSTALL_SHORTCUT,perm_com_google_android_finsky_permission_BIND_GET_INSTALL_REFERRER_SERVICE,perm_android_permission_ACCESS_COARSE_LOCATION,perm_android_permission_SYSTEM_ALERT_WINDOW,intent_com_android_vending_INSTALL_REFERRER,intent_android_net_conn_CONNECTIVITY_CHANGE,perm_android_permission_CHANGE_WIFI_STATE,n_permissions,n_services,suspicious_sendTextMessage,n_receivers,perm_android_permission_CHANGE_NETWORK_STATE,label
33,0,0,0,0,0,0,0,1,1,1,1,7,0,1,1,0,0,0,1,1,0,1,0,0,14,9,0,6,0,0
27,0,0,0,0,0,0,0,1,1,1,1,4,1,1,1,0,0,0,1,1,0,1,0,0,14,7,0,5,0,0
33,0,0,0,1,0,0,0,1,1,1,1,2,1,1,1,0,0,0,0,1,1,1,0,0,12,10,0,9,0,0
32,0,0,0,1,0,0,0,1,1,1,1,5,1,1,0,0,0,0,1,0,1,1,0,0,15,8,0,4,0,0
32,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,9,11,0,6,0,0
27,0,0,0,1,0,0,0,1,1,1,1,4,1,1,0,0,0,0,1,0,0,1,0,0,10,9,0,5,0,0
34,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,11,5,0,4,0,0
37,1,0,0,0,0,0,0,1,1,1,1,5,1,1,0,0,0,0,1,0,0,1,0,0,12,10,1,8,0,0
32,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,8,10,0,7,0,0
36,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,18,9,0,10,0,1
32,0,0,0,0,0,0,0,1,1,1,1,5,1,1,1,0,0,0,0,0,0,1,0,0,18,6,0,7,0,0
38,0,0,0,0,0,0,0,1,1,1,1,3,0,1,1,0,0,0,0,1,0,1,0,0,13,10,0,6,0,0
32,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,5,8,0,6,0,0
32,1,1,1,1,0,0,0,0,0,1,0,3,1,0,1,1,0,0,0,1,1,0,1,0,15,3,0,1,0,1
33,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,11,3,0,1,0,1
38,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,17,5,0,1,0,1
28,0,0,0,0,0,0,0,1,1,1,1,2,0,1,1,0,0,0,0,0,0,1,0,0,7,7,0,6,0,0
29,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,1,12,9,0,4,1,0
27,0,0,0,1,0,0,0,1,1,1,1,2,0,1,0,0,0,0,1,0,1,1,0,0,13,8,0,3,0,0
32,0,1,1,0,1,0,0,1,1,1,1,2,1,1,0,0,0,1,1,0,0,1,0,1,21,6,0,5,0,0
37,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,1,1,1,0,16,6,0,6,0,1
23,0,0,0,0,0,0,0,1,1,1,1,4,0,1,0,0,0,0,0,0,0,1,0,0,9,12,0,7,0,0
37,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,17,7,0,9,0,0
39,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,18,6,0,2,0,1
40,1,0,1,1,0,1,0,0,0,0,0,5,1,0,1,0,0,0,0,1,0,0,1,1,15,12,0,5,1,1
25,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,13,4,0,4,0,1
34,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,16,1,0,2,0,0
34,1,0,0,0,0,0,0,1,1,1,1,4,0,1,0,0,0,0,1,0,0,1,0,0,10,13,0,5,0,0
37,0,0,0,0,0,0,0,1,1,1,1,3,1,0,0,0,0,0,1,0,0,1,0,0,8,6,0,7,0,0
26,0,0,0,0,0,0,0,1,1,1,1,3,1,1,0,0,0,0,1,0,0,1,0,0,10,10,0,4,0,0
29,0,1,0,1,0,0,0,1,1,1,1,4,0,0,0,0,0,0,1,0,0,1,1,0,14,10,0,8,0,1
26,0,0,0,1,0,0,0,1,1,1,1,4,1,1,0,0,0,0,0,0,0,1,0,0,12,8,0,5,0,0
25,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,21,12,0,10,0,0
40,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,10,6,0,3,0,1
30,0,0,0,0,0,0,0,1,1,1,1,7,0,1,0,0,0,0,1,0,0,1,1,0,9,13,0,12,0,0
31,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,13,1,0,1,1,1
23,0,0,0,0,0,0,0,1,1,1,1,4,1,1,0,0,0,0,1,0,0,1,1,1,8,12,0,8,0,0
32,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,11,2,0,0,0,1
