cluster_id,cluster_json,candidate_count,top_feature,top_method_count,top_aggregated_score,output_dir
0,cluster_0.json,50,suspicious_getSubscriberId,5,1.0,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_0
1,cluster_1.json,50,intent_android.intent.action.PACKAGE_ADDED,5,0.6742896929958342,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_1
2,cluster_2.json,50,n_permissions,5,0.986190221154366,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_2
3,cluster_3.json,50,suspicious_getSubscriberId,5,0.9097499069761176,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_3
4,cluster_4.json,50,n_permissions,5,0.9602433402984788,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_4
5,cluster_5.json,50,n_permissions,5,0.4968521249689674,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_5
6,cluster_6.json,50,n_api_calls,5,0.9151732268385728,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_6
7,cluster_7.json,50,n_urls,5,0.6577119415710468,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_7
8,cluster_8.json,50,perm_android.permission.READ_PHONE_STATE,5,0.8818798889018769,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_8
9,cluster_9.json,50,suspicious_getSubscriberId,5,0.9243804089641536,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_9
10,cluster_10.json,50,n_api_calls,5,0.7391456049332507,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_10
11,cluster_11.json,50,perm_android.permission.READ_PHONE_STATE,5,0.8717082221427273,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_11
12,cluster_12.json,50,perm_android.permission.ACCESS_NETWORK_STATE,5,0.6075412433325944,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_12
13,cluster_13.json,50,n_api_calls,5,0.8561201633293104,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_13
14,cluster_14.json,50,perm_android.permission.READ_PHONE_STATE,5,0.844126192763413,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_14
15,cluster_15.json,50,perm_android.permission.DEVICE_POWER,5,0.5038351370636673,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_15
16,cluster_16.json,50,perm_com.android.launcher.permission.INSTALL_SHORTCUT,5,0.8748367200144932,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_16
17,cluster_17.json,50,suspicious_getSubscriberId,5,1.0,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_17
18,cluster_18.json,50,perm_android.permission.GET_TASKS,5,0.8806299930141843,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_18
19,cluster_19.json,50,perm_android.permission.MOUNT_UNMOUNT_FILESYSTEMS,5,0.9788956287986708,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_19
20,cluster_20.json,50,suspicious_getSubscriberId,5,0.9726136696762776,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_20
21,cluster_21.json,50,n_urls,4,0.7588190929343678,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_21
22,cluster_22.json,50,perm_android.permission.READ_PHONE_STATE,5,0.9287725455557666,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_22
23,cluster_23.json,50,n_api_calls,5,0.8576862834874535,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_23
24,cluster_24.json,50,suspicious_getSubscriberId,5,1.0,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_24
25,cluster_25.json,50,intent_android.net.conn.CONNECTIVITY_CHANGE,5,0.939354877049549,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_25
26,cluster_26.json,50,perm_com.android.launcher.permission.INSTALL_SHORTCUT,5,0.91912649499578,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_26
27,cluster_27.json,50,suspicious_getSubscriberId,5,0.9047424845679124,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_27
28,cluster_28.json,50,intent_android.intent.action.PACKAGE_ADDED,5,0.9984214053863194,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_28
29,cluster_29.json,50,perm_android.permission.GET_TASKS,5,0.9284045295022094,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_29
30,cluster_30.json,50,n_urls,5,0.8680352912234499,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_30
31,cluster_31.json,50,n_permissions,5,0.8301989480941738,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_31
32,cluster_32.json,50,perm_android.permission.ACCESS_COARSE_LOCATION,4,0.6662942708796,reports_parallel/entropy_knn_balanced/run_2026-06-12_00/analysis/per_cluster_feature_vs_method/cluster_500/seed_42/cluster_32
